"","id","date","tavg"
"522","RSM00029866",1997-06-06,118
"523","RSM00029866",1997-06-07,162
"524","RSM00029866",1997-06-08,201
"525","RSM00029866",1997-06-09,190
"526","RSM00029866",1997-06-10,188
"527","RSM00029866",1997-06-11,136
"528","RSM00029866",1997-06-12,125
"529","RSM00029866",1997-06-13,102
"530","RSM00029866",1997-06-14,106
"531","RSM00029866",1997-06-15,160
"532","RSM00029866",1997-06-16,176
"533","RSM00029866",1997-06-17,216
"534","RSM00029866",1997-06-18,221
"535","RSM00029866",1997-06-19,131
"536","RSM00029866",1997-06-20,171
"537","RSM00029866",1997-06-21,196
"538","RSM00029866",1997-06-22,217
"539","RSM00029866",1997-06-23,222
"540","RSM00029866",1997-06-24,237
"541","RSM00029866",1997-06-25,225
"542","RSM00029866",1997-06-26,188
"543","RSM00029866",1997-06-27,165
"544","RSM00029866",1997-06-28,214
"545","RSM00029866",1997-06-29,230
"546","RSM00029866",1997-06-30,214
"547","RSM00029866",1997-07-01,166
"548","RSM00029866",1997-07-02,164
"549","RSM00029866",1997-07-03,187
"550","RSM00029866",1997-07-04,229
"551","RSM00029866",1997-07-05,245
"552","RSM00029866",1997-07-06,242
"553","RSM00029866",1997-07-07,201
"554","RSM00029866",1997-07-08,212
"555","RSM00029866",1997-07-09,229
"556","RSM00029866",1997-07-10,191
"557","RSM00029866",1997-07-11,191
"558","RSM00029866",1997-07-12,199
"559","RSM00029866",1997-07-13,190
"560","RSM00029866",1997-07-14,187
"561","RSM00029866",1997-07-15,199
"562","RSM00029866",1997-07-16,207
"563","RSM00029866",1997-07-17,215
"564","RSM00029866",1997-07-18,198
"565","RSM00029866",1997-07-19,176
"566","RSM00029866",1997-07-20,154
"567","RSM00029866",1997-07-21,145
"568","RSM00029866",1997-07-22,155
"569","RSM00029866",1997-07-23,174
"570","RSM00029866",1997-07-24,185
"571","RSM00029866",1997-07-25,185
"572","RSM00029866",1997-07-26,129
"573","RSM00029866",1997-07-27,136
"574","RSM00029866",1997-07-28,136
"575","RSM00029866",1997-07-29,173
"576","RSM00029866",1997-07-30,195
"577","RSM00029866",1997-07-31,222
"578","RSM00029866",1997-08-01,217
"579","RSM00029866",1997-08-02,221
"580","RSM00029866",1997-08-03,222
"581","RSM00029866",1997-08-04,228
"582","RSM00029866",1997-08-05,204
"583","RSM00029866",1997-08-06,196
"584","RSM00029866",1997-08-07,194
"585","RSM00029866",1997-08-08,219
"586","RSM00029866",1997-08-09,207
"587","RSM00029866",1997-08-10,204
"588","RSM00029866",1997-08-11,129
"589","RSM00029866",1997-08-12,102
"590","RSM00029866",1997-08-13,101
"591","RSM00029866",1997-08-14,121
"592","RSM00029866",1997-08-15,163
"593","RSM00029866",1997-08-16,196
"594","RSM00029866",1997-08-17,199
"595","RSM00029866",1997-08-18,198
"596","RSM00029866",1997-08-19,189
"597","RSM00029866",1997-08-20,179
"598","RSM00029866",1997-08-21,159
"599","RSM00029866",1997-08-22,139
"600","RSM00029866",1997-08-23,134
"601","RSM00029866",1997-08-24,125
"602","RSM00029866",1997-08-25,135
"603","RSM00029866",1997-08-26,136
"604","RSM00029866",1997-08-27,154
"605","RSM00029866",1997-08-28,141
"606","RSM00029866",1997-08-29,111
"607","RSM00029866",1997-08-30,129
"608","RSM00029866",1997-08-31,146
"609","RSM00029866",1997-09-01,129
"610","RSM00029866",1997-09-02,133
"611","RSM00029866",1997-09-03,102
"612","RSM00029866",1997-09-04,86
"613","RSM00029866",1997-09-05,76
"614","RSM00029866",1997-09-06,100
"615","RSM00029866",1997-09-07,92
"616","RSM00029866",1997-09-08,81
"617","RSM00029866",1997-09-09,73
"618","RSM00029866",1997-09-10,79
"619","RSM00029866",1997-09-11,86
"620","RSM00029866",1997-09-12,92
"621","RSM00029866",1997-09-13,102
"622","RSM00029866",1997-09-14,119
"623","RSM00029866",1997-09-15,105
"624","RSM00029866",1997-09-16,92
"625","RSM00029866",1997-09-17,96
"626","RSM00029866",1997-09-18,104
"627","RSM00029866",1997-09-19,104
"628","RSM00029866",1997-09-20,115
"629","RSM00029866",1997-09-21,118
"630","RSM00029866",1997-09-22,96
"631","RSM00029866",1997-09-23,112
"632","RSM00029866",1997-09-24,105
"633","RSM00029866",1997-09-25,115
"634","RSM00029866",1997-09-26,127
"635","RSM00029866",1997-09-27,87
"636","RSM00029866",1997-09-28,54
"637","RSM00029866",1997-09-29,58
"638","RSM00029866",1997-09-30,1
"639","RSM00029866",1997-10-01,2
"640","RSM00029866",1997-10-02,13
"641","RSM00029866",1997-10-03,31
"642","RSM00029866",1997-10-04,56
"643","RSM00029866",1997-10-05,42
"644","RSM00029866",1997-10-06,39
"645","RSM00029866",1997-10-07,46
"646","RSM00029866",1997-10-08,104
"647","RSM00029866",1997-10-09,69
"648","RSM00029866",1997-10-10,86
"649","RSM00029866",1997-10-11,65
"650","RSM00029866",1997-10-12,109
"651","RSM00029866",1997-10-13,71
"652","RSM00029866",1997-10-14,22
"653","RSM00029866",1997-10-15,90
"654","RSM00029866",1997-10-16,106
"655","RSM00029866",1997-10-17,126
"656","RSM00029866",1997-10-18,115
"657","RSM00029866",1997-10-19,38
"658","RSM00029866",1997-10-20,12
"659","RSM00029866",1997-10-21,-16
"660","RSM00029866",1997-10-22,-15
"661","RSM00029866",1997-10-23,-19
"662","RSM00029866",1997-10-24,-30
"663","RSM00029866",1997-10-25,-29
"664","RSM00029866",1997-10-26,-25
"665","RSM00029866",1997-10-27,-26
"666","RSM00029866",1997-10-28,-28
"667","RSM00029866",1997-10-29,-27
"668","RSM00029866",1997-10-30,-36
"669","RSM00029866",1997-10-31,-38
"670","RSM00029866",1997-11-01,-6
"671","RSM00029866",1997-11-02,40
"672","RSM00029866",1997-11-03,38
"673","RSM00029866",1997-11-04,20
"674","RSM00029866",1997-11-05,-32
"675","RSM00029866",1997-11-06,-55
"676","RSM00029866",1997-11-07,-45
"677","RSM00029866",1997-11-08,-1
"678","RSM00029866",1997-11-09,-43
"679","RSM00029866",1997-11-10,-31
"680","RSM00029866",1997-11-11,-48
"681","RSM00029866",1997-11-12,-18
"682","RSM00029866",1997-11-13,-123
"683","RSM00029866",1997-11-14,-124
"684","RSM00029866",1997-11-15,-49
"685","RSM00029866",1997-11-16,-19
"686","RSM00029866",1997-11-17,4
"687","RSM00029866",1997-11-18,-60
"688","RSM00029866",1997-11-19,-140
"689","RSM00029866",1997-11-20,-171
"690","RSM00029866",1997-11-21,-86
"691","RSM00029866",1997-11-22,-49
"692","RSM00029866",1997-11-23,-167
"693","RSM00029866",1997-11-24,-175
"694","RSM00029866",1997-11-25,-110
"695","RSM00029866",1997-11-26,-61
"696","RSM00029866",1997-11-27,-152
"697","RSM00029866",1997-11-28,-203
"698","RSM00029866",1997-11-29,-245
"699","RSM00029866",1997-11-30,-259
"700","RSM00029866",1997-12-01,-228
"701","RSM00029866",1997-12-02,-194
"702","RSM00029866",1997-12-03,-141
"703","RSM00029866",1997-12-04,-167
"704","RSM00029866",1997-12-05,-175
"705","RSM00029866",1997-12-06,-83
"706","RSM00029866",1997-12-07,-83
"707","RSM00029866",1997-12-08,-228
"708","RSM00029866",1997-12-09,-237
"709","RSM00029866",1997-12-10,-242
"710","RSM00029866",1997-12-11,-253
"711","RSM00029866",1997-12-12,-193
"712","RSM00029866",1997-12-13,-145
"713","RSM00029866",1997-12-14,-32
"714","RSM00029866",1997-12-15,-98
"715","RSM00029866",1997-12-16,-79
"716","RSM00029866",1997-12-17,-141
"717","RSM00029866",1997-12-18,-152
"718","RSM00029866",1997-12-19,-106
"719","RSM00029866",1997-12-20,-84
